trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,288.33814410000014,289.36375079999925,289.2703658999999,None,m,1.8393818000004103,289.2703658999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Feb_22_0338,idk,2021.2.3,None,
0,0,0,0,,,,,,,,,>>>m,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,292.3352705999987,None,,2022_Feb_22_0338,idk,2021.2.3,None,
1,0,1,0,,,,,,,,,>>>,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,300.6028499999993,None,,2022_Feb_22_0338,idk,2021.2.3,None,
2,0,2,0,,,,,,,,,>>>,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,306.51125479999973,None,,2022_Feb_22_0338,idk,2021.2.3,None,
3,0,3,0,,,,,,,,,>>>,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,310.8594551999995,None,,2022_Feb_22_0338,idk,2021.2.3,None,
4,0,4,0,,,,,,,,,>>>,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,317.5757647999999,None,,2022_Feb_22_0338,idk,2021.2.3,None,
5,0,5,0,,,,,,,,,>>>,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,323.73670559999846,None,,2022_Feb_22_0338,idk,2021.2.3,None,
6,0,6,0,,,,,,,,,>>>,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,330.7689498,None,,2022_Feb_22_0338,idk,2021.2.3,None,
7,0,7,0,,,,,,,,,>>>,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,336.9923454999989,None,,2022_Feb_22_0338,idk,2021.2.3,None,
8,0,8,0,,,,,,,,,>>>,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,341.5363251999988,None,,2022_Feb_22_0338,idk,2021.2.3,None,
9,0,9,0,,,,,,,,,>>>,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,347.7554881999986,None,,2022_Feb_22_0338,idk,2021.2.3,None,
10,0,10,0,,,,,,,,,>>>,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,352.56219319999946,None,,2022_Feb_22_0338,idk,2021.2.3,None,
11,0,11,0,,,,,,,,,>>>,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,358.7994189000001,None,,2022_Feb_22_0338,idk,2021.2.3,None,
12,0,12,0,,,,,,,,,>>>,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,365.4787808000001,None,,2022_Feb_22_0338,idk,2021.2.3,None,
13,0,13,0,,,,,,,,,>>>,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,370.5413503999989,None,,2022_Feb_22_0338,idk,2021.2.3,None,
14,0,14,0,,,,,,,,,>>>,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,376.7018847999989,None,,2022_Feb_22_0338,idk,2021.2.3,None,
15,0,15,0,,,,,,,,,>>>,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,383.6617336999989,None,,2022_Feb_22_0338,idk,2021.2.3,None,
16,0,16,0,,,,,,,,,>>>,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,391.22517439999865,None,,2022_Feb_22_0338,idk,2021.2.3,None,
17,0,17,0,,,,,,,,,>>>,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,404.02639109999836,None,,2022_Feb_22_0338,idk,2021.2.3,None,
18,0,18,0,,,,,,,,,>>>,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,2022_Feb_22_0338,idk,2021.2.3,None,
19,0,19,0,,,,,,,,,>>>,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,409.79840890000014,None,,2022_Feb_22_0338,idk,2021.2.3,None,
