trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,instructions.started,instructions.stopped,start_2.keys,start_2.rt,start_2.started,start_2.stopped,textbox.text,textbox.started,textbox.stopped,i7.started,i7.stopped,i8.started,i8.stopped,i9.started,i9.stopped,i4.started,i4.stopped,i5.started,i5.stopped,i6.started,i6.stopped,i1.started,i1.stopped,i2.started,i2.stopped,i3.started,i3.stopped,idel.started,idel.stopped,i0.started,i0.stopped,ienter.started,ienter.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,31.562627999999677,32.58149290000438,32.51111910000327,None,space,4.809880799992243,32.51111910000327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Mar_01_1324,idk,2021.2.3,None,
0,0,0,0,,,,,,,,,>>> ,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,38.43956080000498,None,,2022_Mar_01_1324,idk,2021.2.3,None,
1,0,1,0,,,,,,,,,>>>,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,44.45564890000969,None,,2022_Mar_01_1324,idk,2021.2.3,None,
2,0,2,0,,,,,,,,,>>>,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,50.41062000000966,None,,2022_Mar_01_1324,idk,2021.2.3,None,
3,0,3,0,,,,,,,,,>>>,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,56.43854709999869,None,,2022_Mar_01_1324,idk,2021.2.3,None,
4,0,4,0,,,,,,,,,>>>,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,62.45169870000973,None,,2022_Mar_01_1324,idk,2021.2.3,None,
5,0,5,0,,,,,,,,,>>>,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,68.41746370001056,None,,2022_Mar_01_1324,idk,2021.2.3,None,
6,0,6,0,,,,,,,,,>>>,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,74.4177892000007,None,,2022_Mar_01_1324,idk,2021.2.3,None,
7,0,7,0,,,,,,,,,>>>,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,80.39899010000227,None,,2022_Mar_01_1324,idk,2021.2.3,None,
8,0,8,0,,,,,,,,,>>>,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,86.40165240000351,None,,2022_Mar_01_1324,idk,2021.2.3,None,
9,0,9,0,,,,,,,,,>>>,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,92.42107570001099,None,,2022_Mar_01_1324,idk,2021.2.3,None,
10,0,10,0,,,,,,,,,>>>,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,98.38535399999819,None,,2022_Mar_01_1324,idk,2021.2.3,None,
11,0,11,0,,,,,,,,,>>>,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,104.41815260000294,None,,2022_Mar_01_1324,idk,2021.2.3,None,
12,0,12,0,,,,,,,,,>>>,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,110.40391540000564,None,,2022_Mar_01_1324,idk,2021.2.3,None,
